City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
652,Armeria,MX,87.64,broken clouds,18.9333,-103.9667,Hotel la Herradura
654,Guaruja,BR,75.88,few clouds,-23.9931,-46.2564,Charme Hotel Guarujá
657,Raga,SS,82.26,broken clouds,8.4596,25.678,
659,Mayo,US,75.31,clear sky,38.8876,-76.5119,Resorts Resource Group International
660,Colombia,CU,84.42,moderate rain,20.9881,-77.4297,Casa Lazara y Pupi
662,Kavali,IN,76.89,moderate rain,14.9167,79.9833,Hotel Mourya Paradise
665,Ha Tinh,VN,79.32,overcast clouds,18.3333,105.9,Phú Quý
670,Podor,MR,89.35,clear sky,16.6527,-14.9587,Auberge Du Tékrour
673,Tamandare,BR,77.77,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
674,Mitu,CO,79.52,moderate rain,1.1983,-70.1733,
675,Kirakira,SB,83.14,overcast clouds,-10.4544,161.9205,SanBiz Lodge
677,Uarini,BR,83.41,few clouds,-2.99,-65.1083,
682,Hue,VN,77.11,scattered clouds,16.4667,107.6,Saigon Morin Hotel
683,Sibolga,ID,77.7,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
687,Nioki,CD,78.22,overcast clouds,-2.7167,17.6833,
689,Tucuman,AR,78.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
692,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
698,Pilar,BR,80.53,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
699,Zhuhai,CN,76.86,shower rain,22.2769,113.5678,珠海粤财假日酒店
701,Lufilufi,WS,83.98,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
705,Bonoua,CI,82.02,light rain,5.2741,-3.595,Hotel Bon Samaritian
709,Sassandra,CI,80.01,light rain,4.95,-6.0833,la terrasse
713,Dzaoudzi,YT,80.49,few clouds,-12.7887,45.2699,Le Rocher
714,Todos Santos,MX,77.14,clear sky,23.45,-110.2167,Hotel California Todos Santos
716,Oussouye,SN,82.58,clear sky,12.485,-16.5469,Auberge du Routard
717,Ouesso,CG,76.64,scattered clouds,1.6136,16.0517,ABENIE Hotel
