city_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Petropavlovsk-Kamchatskiy,RU,2022-05-09 00:40:30,53.0452,158.6483,39.79,93,100,15.66
159,Meulaboh,ID,2022-05-09 00:34:53,4.1363,96.1285,79.11,87,100,4.79
160,Thompson,CA,2022-05-09 00:40:30,55.7435,-97.8558,59.16,38,40,11.5
161,Saint-Philippe,RE,2022-05-09 00:40:31,-21.3585,55.7679,69.39,82,36,6.15
162,Hasaki,JP,2022-05-09 00:38:55,35.7333,140.8333,63.0,59,100,10.63
163,Pak Phanang,TH,2022-05-09 00:40:31,8.3511,100.202,78.82,94,100,4.97
164,Nantucket,US,2022-05-09 00:37:40,41.2835,-70.0995,46.54,66,0,25.32
165,Along,IN,2022-05-09 00:40:32,28.1667,94.7667,73.92,82,39,0.96
166,Laguna,US,2022-05-09 00:37:18,38.421,-121.4238,65.05,33,0,19.57
167,Naliya,IN,2022-05-09 00:40:32,23.2667,68.8333,79.02,82,0,9.48
168,Fallon,US,2022-05-09 00:40:33,39.4735,-118.7774,48.07,39,75,24.16
169,Salekhard,RU,2022-05-09 00:40:33,66.53,66.6019,34.63,100,100,7.43
170,Beyneu,KZ,2022-05-09 00:40:33,45.3167,55.2,61.84,77,100,7.25
171,Buctzotz,MX,2022-05-09 00:40:34,21.2,-88.7833,86.04,55,3,9.89
172,Abu Dhabi,AE,2022-05-09 00:40:34,24.4667,54.3667,84.22,65,0,6.91
173,El Vigia,VE,2022-05-09 00:40:35,8.6219,-71.6506,78.73,83,93,4.05
174,Kalmunai,LK,2022-05-09 00:40:35,7.4167,81.8167,81.23,79,100,5.57
175,Yulara,AU,2022-05-09 00:39:56,-25.2406,130.9889,57.04,33,56,13.8
176,Cabo San Lucas,MX,2022-05-09 00:30:19,22.8909,-109.9124,89.91,29,0,8.05
177,Nanortalik,GL,2022-05-09 00:40:36,60.1432,-45.2371,36.77,91,100,2.89
178,Ilulissat,GL,2022-05-09 00:40:36,69.2167,-51.1,26.62,80,5,0.0
179,Tanabe,JP,2022-05-09 00:40:37,33.7333,135.3667,65.93,66,75,3.44
180,Kruisfontein,ZA,2022-05-09 00:41:37,-34.0033,24.7314,51.89,70,14,5.23
181,Warrnambool,AU,2022-05-09 00:41:37,-38.3833,142.4833,57.81,64,23,5.57
182,Naruto,JP,2022-05-09 00:41:38,34.1833,134.6167,62.58,51,75,12.66
183,Caravelas,BR,2022-05-09 00:41:38,-17.7125,-39.2481,72.39,88,21,8.68
184,Evensk,RU,2022-05-09 00:41:39,61.95,159.2333,31.39,94,100,2.04
185,Hudson Bay,CA,2022-05-09 00:41:39,52.85,-102.3842,55.83,61,67,3.22
186,Renfrew,GB,2022-05-09 00:41:39,55.872,-4.3925,55.35,82,100,5.01
187,Malkangiri,IN,2022-05-09 00:41:40,18.35,81.9,80.73,59,96,0.74
188,Kavieng,PG,2022-05-09 00:41:40,-2.5744,150.7967,85.05,67,100,17.02
